BCL2L10 ZAR1L C3orf56 BTG4 TUBB8 SH2D1B C9orf116 TMEM132B CA4 FAM19A4 label
E3.46.3382 67 10 1 0 106 26 0 0 0 0 E3
E3.46.3388 51 28 126 12 68 0 0 0 0 16 E3
E3.47.3395 266 129 598 251 1059 0 0 394 0 224 E3
E3.46.3386 17 50 87 9 157 0 0 0 0 34 E3
E3.46.3383 184 34 58 22 304 0 0 1 0 22 E3
E3.47.3392 0 33 9 0 120 0 0 0 0 16 E3
E3.45.3381 33 49 68 0 410 0 0 4 0 49 E3
E3.48.3402 16 0 27 0 70 0 0 3 0 15 E3
E3.46.3384 24 0 88 0 1 0 0 0 0 0 E3
E3.51.3420 18 5 3 3 85 0 0 2 0 0 E3
E3.45.3378 79 0 191 2 704 33 0 40 0 2 E3
E3.45.3380 43 49 397 66 1109 0 0 28 0 37 E3
E3.47.3393 0 24 30 20 118 0 0 20 0 0 E3
E3.45.3375 114 0 325 19 1710 0 0 0 0 96 E3
E3.46.3387 0 37 178 0 79 0 0 7 0 0 E3
E3.46.3385 58 19 93 2 87 0 0 16 0 2 E3
E3.47.3389 46 50 308 0 385 65 0 0 0 15 E3
E3.48.3398 95 87 107 0 152 0 0 0 0 10 E3
E3.45.3374 244 22 195 0 1452 0 0 0 0 26 E3
E3.49.3403 82 0 139 0 683 71 0 0 0 1 E3
E3.49.3411 37 140 127 0 870 0 0 0 0 0 E3
E3.48.3396 80 154 188 0 343 0 0 0 0 26 E3
E3.48.3401 101 103 56 0 113 0 0 0 0 61 E3
E3.48.3400 89 2 1 23 220 0 0 0 0 0 E3
E3.47.3394 0 75 75 0 168 0 0 0 0 1 E3
E3.48.3399 53 0 73 0 27 0 0 2 0 7 E3
E3.48.3397 0 0 77 0 235 0 0 78 0 12 E3
E3.50.3416 84 31 109 28 520 0 0 0 0 0 E3
E3.50.3414 205 358 256 90 847 0 0 71 0 49 E3
E3.52.3433 75 76 272 0 427 0 0 35 0 25 E3
E3.47.3390 113 75 97 1 352 0 0 70 0 66 E3
E3.49.3409 59 41 217 35 684 0 0 0 0 77 E3
E3.50.3412 239 80 389 58 1053 0 0 41 0 40 E3
E3.49.3408 102 113 101 14 656 0 0 0 0 45 E3
E3.50.3413 32 32 130 14 224 0 0 18 0 24 E3
E3.53.3436 133 235 289 0 907 0 0 59 0 80 E3
E3.49.3405 53 32 8 0 594 0 0 0 0 0 E3
E3.49.3406 122 1 108 0 896 0 0 69 0 64 E3
E3.52.3428 706 158 892 63 868 0 0 459 0 128 E3
E3.52.3430 405 84 508 50 763 0 0 145 0 71 E3
E3.52.3432 805 171 744 37 1334 0 0 558 0 318 E3
E3.52.3434 626 129 1172 44 881 32 0 183 0 235 E3
